unique_registros_ID,voucher,genus,species,subspecies,if_hybrid,sex,Municipality-Department-Country,locality,lat_dec,lon_dec,elev_min,elev_max,elev_unit,day,month,year,date_if_string,collector,collection
26400,4983,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Santa Clara, Pastaza, Ecuador",Puyo - Tena rd km 25 PA,-1.33,-77.93,1100,1100,m,NA,NA,1992,6-May,NA,FLMNH
26401,5600,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Santa Clara, Pastaza, Ecuador",Llandia Rio PA,-1.33,-77.93,1100,1100,m,15,Feb,1992,NA,NA,FLMNH
26402,9052,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Puyo - Tena rd km 31 PA,-1.32,-77.9,NA,NA,m,NA,Aug,1995,NA,NA,FLMNH
26403,5078,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Puyo - Tena rd km 19 PA,-1.37,-77.94,1100,1100,m,15,Feb,1992,NA,NA,FLMNH
26404,5082,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Pastaza, Pastaza, Ecuador",Puyo - Tena rd km 19 PA,-1.37,-77.94,1100,1100,m,15,Feb,1992,NA,NA,FLMNH
26405,9465,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Puyo - Tena rd km 19 PA,-1.37,-77.94,NA,NA,m,NA,Nov,1995,NA,NA,FLMNH
26406,9430,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Bobonaza Rio PA,-1.46,-77.83,900,900,m,22,Sep,1995,NA,"Neild, A.",FLMNH
26407,10207,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Bobonaza Rio PA,-1.46,-77.83,900,900,m,28,Oct,1996,NA,"Neild, A.",FLMNH
26408,9420,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Bobonaza Rio PA,-1.46,-77.83,900,900,m,22,Sep,1995,NA,"Neild, A.",FLMNH
26409,4977,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Mera, Morona Santiago, Ecuador",Puyo - Macas km15-30 PA,-1.66,-78.01,NA,NA,m,NA,NA,1992,6-May,NA,FLMNH
26410,4979,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Mera, Morona Santiago, Ecuador",Puyo - Macas km15-30 PA,-1.66,-78.01,NA,NA,m,NA,NA,1992,6-May,NA,FLMNH
26411,4980,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Mera, Morona Santiago, Ecuador",Puyo - Macas km15-30 PA,-1.66,-78.01,NA,NA,m,NA,NA,1992,6-May,NA,FLMNH
26412,4978,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Mera, Morona Santiago, Ecuador",Puyo - Macas km15-30 PA,-1.66,-78.01,NA,NA,m,NA,NA,1992,6-May,NA,FLMNH
26413,4982,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Mera, Morona Santiago, Ecuador",Puyo - Macas km15-30 PA,-1.66,-78.01,NA,NA,m,NA,NA,1992,6-May,NA,FLMNH
